"","asv_code","kingdom","supergroup","division","class","order","family","genus","species","casv_code","PR2_matches","biogeo","taxon_level","trophic_mode"
"27","f43fb9c0f3","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulomycetes_X","Labyrinthulomycetes_X_LAB14","Labyrinthulomycetes_X_LAB14_X","Labyrinthulomycetes_X_LAB14_X_sp.","96c6b5d976","  0","Polar","class","heterotrophic"
"28","58a35e6970","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales_clade_A","Pelagomonadales_clade_A1","Pelagomonadales_clade_A1_sp.","603d7fa59b","  1","Polar","division","photosynthetic"
"29","6224d893e7","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonadales_XX","Cryptomonadales_XX_sp.","f789558332","  0","Unallocated","order","photosynthetic"
"30","bda1e9880e","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas_gelidicola","b8ac3700cf"," 16","Polar-Temperate","species","mixotrophic"
"31","f8124a0c4a","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Baffinella","Baffinella_frigidus","1e1c3721cb","  1","Polar","order","photosynthetic"
"32","ed878e7edf","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_paxillifer","437eb83197","  0","Polar","class","photosynthetic"
"33","4369ada91d","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Araphid-pennate","Synedra","Synedra_hyperborea","c16837fb1e"," 16","Polar-Temperate","class","photosynthetic"
"34","6aa05b1319","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Attheya","Attheya_septentrionalis","19576a3b7e"," 23","Polar","species","photosynthetic"
"35","816ab18948","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Pinnularia","Pinnularia_sp.","816ab18948","  0","Unallocated","class","photosynthetic"
"36","019e1c9f33","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Stauroneis","Stauroneis_kriegeri","e23bf8e060","  2","Polar","class","photosynthetic"
"37","0d0d82933b","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Naviculaceae_X","Naviculaceae_X_sp.","2a638db8a7","  5","Polar","class","photosynthetic"
"38","c5dd19dff1","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp.","fd400a6a51","  0","Temperate-Tropical","genus","dinoflagellata"
"39","140587eb59","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_sp.","140587eb59","  1","Unallocated","class","photosynthetic"
"40","ffc6b4c795","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Haslea","Haslea_crucigera","ffc6b4c795","  0","Unallocated","class","photosynthetic"
"41","3978ee0f2e","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadales_X","Pyramimonadales_XX","Pyramimonadales_XX_sp.","4d9c9dcacd","  0","Polar-Temperate","order","mixotrophic"
"42","947233f3fc","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cylindrotheca","Cylindrotheca_sp.","8882d338f3","  1","Polar","class","photosynthetic"
"43","2b175f4728","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis_sp.","eba24a23e2","  0","Polar-Temperate","class","mixotrophic"
"44","f0dff4945e","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Chroomonas","Chroomonas_sp.","f0dff4945e","  0","Unallocated","order","photosynthetic"
"45","19f0f4aa3d","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cylindrotheca","Cylindrotheca_sp.","08a24b3cda","  1","Polar","class","photosynthetic"
"46","4683bf1f46","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","Rhodomonas_sp.","f67545701c"," 14","Polar-Temperate","order","photosynthetic"
"47","556a4de724","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidaceae","Ankylochrysis","Ankylochrysis_sp.","556a4de724","  4","Unallocated","division","photosynthetic"
"48","1abc4314c6","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_raudensis","9b86cf291f","  0","Polar","order","photosynthetic"
