ScientificName;AphiaID;Trophy;typeMX;source;dataType;Kingdom;Phylum;Class;Order;Family;Genus;Species
Acanthochiasma;368427;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Holacanthida;Acanthochiasmidae;Acanthochiasma;NA
Acanthochiasma fusiforme;368428;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Holacanthida;Acanthochiasmidae;Acanthochiasma;fusiforme
Acanthocollidae;367348;protozooplankton;NA;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Holacanthida;Acanthocollidae;NA;NA
Acanthometra;235749;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Acanthometridae;Acanthometra;NA
Acanthometra pellucida;235750;mixoplankton;eSNCM;Leles et al. 2017;review;Chromista;Radiozoa;Acantharia;Arthracanthida;Acanthometridae;Acanthometra;pellucida
Acanthometridae;235748;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Acanthometridae;NA;NA
Acanthometron;391880;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Acanthometridae;Acanthometron;NA
Acanthoplegma;368432;protozooplankton;NA;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Holacanthida;Acanthoplegmidae;Acanthoplegma;NA
Acanthostaurus;393198;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;NA;Acanthostaurus;NA
Acanthostaurus nordgaardi;393199;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;NA;Acanthostaurus;nordgaardi
Amphilonche elongata;235752;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Acanthometridae;Amphilonche;elongata
Chaunacanthida;367300;protozooplankton;NA;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Chaunacanthida;NA;NA;NA
Diploconidae;367340;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Diploconidae;NA;NA
Diploconus fasces;711980;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Acantharia incertae sedis;NA;Diploconus;fasces
Dorataspidae;367338;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Dorataspidae;NA;NA
Gigartaconidae;367345;protozooplankton;NA;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Chaunacanthida;Gigartaconidae;NA;NA
Hexalaspidae;367342;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Hexalaspidae;NA;NA
Lithoptera fenestrata;711972;mixoplankton;eSNCM;Faure et al. 2019;review;Chromista;Radiozoa;Acantharia;Acantharia incertae sedis;NA;Lithoptera;fenestrata
Lithopteridae;367341;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Lithopteridae;NA;NA
Phractopeltidae;367339;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Phractopeltidae;NA;NA
Phyllostauridae;367335;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;Phyllostauridae;NA;NA
Stauracanthidae;367336;mixoplankton;eSNCM;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Arthracanthida;NA;NA;NA
Stauraconidae;367343;protozooplankton;NA;Decelle 2012;paper;Chromista;Radiozoa;Acantharia;Chaunacanthida;Stauraconidae;NA;NA
Acanthoceras zachariasii;178990;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Acanthoceras;zachariasii
Achnanthes brevipes;149387;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Achnanthales;Achnanthaceae;Achnanthes;brevipes
Achnanthes longipes;156533;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Achnanthales;Achnanthaceae;Achnanthes;longipes
Actinocyclus cholnokyi;179603;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;cholnokyi
Actinocyclus normanii;148945;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;normanii
Actinocyclus normanii f  normanii;162766;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;normanii
Actinocyclus normanii f  subsalsus;157433;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;normanii
Actinocyclus octonarius var  crassus;160648;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;octonarius
Actinocyclus octonarius var  octonarius;162770;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;octonarius
Actinocyclus octonarius var  tenellus;160650;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;octonarius
Actinocyclus senarius;162810;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;senarius
Actinoptychus octonarius;149163;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;octonarius
Actinoptychus senarius;148948;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;senarius
Actinoptychus splendens;148949;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;splendens
Amphiprora lepidoptera f  lepidoptera;983277;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Amphipleuraceae;Amphiprora;lepidoptera
Amphiprora paludosa var  paludosa;163647;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Amphipleuraceae;Amphiprora;paludosa
Amphora commutata;163655;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;commutata
Amphora laevis;149530;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;laevis
Amphora laevissima var  perminuta;969098;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;laevissima
Amphora ovalis;149524;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;ovalis
Aneumastus tusculus;163682;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Mastogloiales;Mastogloiaceae;Aneumastus;tusculus
Asterionella formosa;148954;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;formosa
Asterionella frauenfeldii;176362;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;frauenfeldii
Asterionella glacialis;148955;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;glacialis
Asterionella kariana;148956;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;kariana
Asterionellopsis glacialis;149139;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionellopsis;glacialis
Asteroplanus karianus;251745;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asteroplanus;karianus
Attheya decora;160520;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;decora
Attheya longicornis;464444;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;longicornis
Attheya septentrionalis;162823;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Attheyaceae;Attheya;septentrionalis
Aulacoseira alpigena;162837;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;alpigena
Aulacoseira ambigua;148960;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;ambigua
Aulacoseira distans;149096;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;distans
Aulacoseira granulata;148961;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;granulata
Aulacoseira granulata var  angustissima;162865;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;granulata
Aulacoseira granulata var  granulata;162864;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;granulata
Aulacoseira islandica;149648;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;islandica
Aulacoseira islandica subsp  helvetica;162869;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;islandica
Aulacoseira islandica subsp  islandica;162867;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;islandica
Aulacoseira italica;162877;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Aulacoseirales;Aulacoseiraceae;Aulacoseira;italica
Bacillaria paxillifera;558243;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Bacillaria;paxillifera
Bacillaria ulna;176252;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Bacillaria;ulna
Bacteriastrum delicatulum;164108;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;delicatulum
Bacteriastrum hyalinum;149119;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;hyalinum
Bellerochea malleus;149306;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Bellerocheaceae;Bellerochea;malleus
Bellerochea polymorpha;464448;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Bellerocheaceae;Bellerochea;polymorpha
Belonastrum berolinensis;621696;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;NA;NA;Belonastrum;berolinensis
Biddulphia alternans;149655;phytoplankton;NA;Hoppenrath et al. 2009;scientific cruise;Chromista;Ochrophyta;Bacillariophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;alternans
Biddulphia rhombus var  trigona;671778;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;rhombus
Biddulphia sinensis;148969;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;sinensis
Biddulphia subaequa;162953;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Biddulphiales;Biddulphiaceae;Biddulphia;subaequa
Brebissonia lanceolata;163765;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Cymbellales;Cymbellaceae;Brebissonia;lanceolata
Caloneis amphisbaena;149489;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Naviculaceae;Caloneis;amphisbaena
Caloneis amphisbaena var  subsalina;177949;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Naviculaceae;Caloneis;amphisbaena
Caloneis silicula;149492;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Naviculaceae;Caloneis;silicula
Campylodiscus clypeus;163816;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Surirellales;Surirellaceae;Campylodiscus;clypeus
Campylodiscus fastuosus;156599;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Surirellales;Surirellaceae;Campylodiscus;fastuosus
Campylosira cymbelliformis;149357;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Cymatosirales;Cymatosiraceae;Campylosira;cymbelliformis
Cavinula lacustris;163850;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Cavinulaceae;Cavinula;lacustris
Cerataulina bergonii;961694;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Cerataulina;bergonii
Cerataulina pelagica;149619;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Hemiaulaceae;Cerataulina;pelagica
Cerataulus granulata;1322477;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Cerataulus;granulata
Cerataulus radiatus;178126;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Cerataulus;radiatus
Cerataulus turgidus;628227;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Cerataulus;turgidus
Ceratoneis fasciola;172535;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Ceratoneis;fasciola
Ceratoneis gracilis;163938;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Ceratoneis;gracilis
Chaetoceros affinis;149241;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;affinis
Chaetoceros anastomosans;149292;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;anastomosans
Chaetoceros anastomosans var  externa;162998;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;anastomosans
Chaetoceros armatus;149299;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;armatus
Chaetoceros atlanticus;149288;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;atlanticus
Chaetoceros borealis;149124;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;borealis
Chaetoceros brevis;149291;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;brevis
Chaetoceros bulbosum;980583;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;bulbosum
Chaetoceros calcitrans;163013;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;calcitrans
Chaetoceros castracanei;341473;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;castracanei
Chaetoceros ceratosporus;149297;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;ceratosporus
Chaetoceros ceratosporus var  ceratosporus;163016;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;ceratosporus
Chaetoceros cinctus;149622;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;cinctus
Chaetoceros circinalis;163019;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;circinalis
Chaetoceros compressus;149129;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;compressus
Chaetoceros concavicornis;156607;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;concavicornis
Chaetoceros constrictus;156609;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;constrictus
Chaetoceros contortus;149623;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;contortus
Chaetoceros convolutus;156611;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;convolutus
Chaetoceros coronatus;163026;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;coronatus
Chaetoceros costatus;149289;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;costatus
Chaetoceros crinitus;149171;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;crinitus
Chaetoceros curvisetus;149221;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;curvisetus
Chaetoceros danicus;149120;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;danicus
Chaetoceros debilis;149219;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;debilis
Chaetoceros decipiens;149126;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;decipiens
Chaetoceros diadema;149128;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;diadema
Chaetoceros dichaeta;178215;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;dichaeta
Chaetoceros didymus;149122;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;didymus
Chaetoceros didymus var  anglica;163049;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;didymus
Chaetoceros didymus var  didymus;163048;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;didymus
Chaetoceros eibenii;160521;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;eibenii
Chaetoceros externus;160522;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;externus
Chaetoceros holsaticus;163063;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;holsaticus
Chaetoceros ingolfianus;156613;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;ingolfianus
Chaetoceros laciniosus;149228;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;laciniosus
Chaetoceros lauderi;160523;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;lauderi
Chaetoceros lorenzianus;156617;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;lorenzianus
Chaetoceros minimus;163089;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;minimus
Chaetoceros muelleri;163098;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;muelleri
Chaetoceros neogracile;418510;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;neogracile
Chaetoceros neogracilis;178207;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;neogracilis
Chaetoceros pauciramosus;1296550;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;pauciramosus
Chaetoceros protuberans;163055;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;protuberans
Chaetoceros pseudocrinitus;149222;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;pseudocrinitus
Chaetoceros pseudocurvisetus;178229;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;pseudocurvisetus
Chaetoceros radicans;163112;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;radicans
Chaetoceros salsugineum;621740;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;salsugineum
Chaetoceros seiracanthus;163118;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;seiracanthus
Chaetoceros septentrionalis;962003;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;septentrionalis
Chaetoceros similis;149127;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;similis
Chaetoceros simplex;149294;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;simplex
Chaetoceros simplex var  calcitrans;163015;phytoplankton;NA;RWS;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;simplex
Chaetoceros socialis;149123;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;socialis
Chaetoceros subtilis;156621;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;subtilis
Chaetoceros subtilis var  subtilis;163131;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;subtilis
Chaetoceros tenuissimus;156623;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;tenuissimus
Chaetoceros teres;149125;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;teres
Chaetoceros throndsenii;163137;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;throndsenii
Chaetoceros throndsenii var  throndsenii;163150;phytoplankton;NA;Helcom;routineMonitoring;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;throndsenii
