"","DNA.GE.IC.10","DNA.GE.IC.101","DNA.GE.IC.102","DNA.GE.IC.103","DNA.GE.IC.104","DNA.GE.IC.106","DNA.GE.IC.107","DNA.GE.IC.108","DNA.GE.IC.109","DNA.GE.IC.110","DNA.GE.IC.111","DNA.GE.IC.112","DNA.GE.IC.113","DNA.GE.IC.114","DNA.GE.IC.115","DNA.GE.IC.116","DNA.GE.IC.117","DNA.GE.IC.118","DNA.GE.IC.119","DNA.GE.IC.12","DNA.GE.IC.120","DNA.GE.IC.121","DNA.GE.IC.122","DNA.GE.IC.123","DNA.GE.IC.124","DNA.GE.IC.125","DNA.GE.IC.126","DNA.GE.IC.127","DNA.GE.IC.128","DNA.GE.IC.129","DNA.GE.IC.13","DNA.GE.IC.130","DNA.GE.IC.131","DNA.GE.IC.132","DNA.GE.IC.133","DNA.GE.IC.134","DNA.GE.IC.135","DNA.GE.IC.136","DNA.GE.IC.137","DNA.GE.IC.139","DNA.GE.IC.14","DNA.GE.IC.140","DNA.GE.IC.141","DNA.GE.IC.142","DNA.GE.IC.143","DNA.GE.IC.144","DNA.GE.IC.145","DNA.GE.IC.146","DNA.GE.IC.147","DNA.GE.IC.148","DNA.GE.IC.149","DNA.GE.IC.15","DNA.GE.IC.150","DNA.GE.IC.16","DNA.GE.IC.17","DNA.GE.IC.19","DNA.GE.IC.20","DNA.GE.IC.21","DNA.GE.IC.22","DNA.GE.IC.25","DNA.GE.IC.26","DNA.GE.IC.27","DNA.GE.IC.28","DNA.GE.IC.31","DNA.GE.IC.32","DNA.GE.IC.33","DNA.GE.IC.34","DNA.GE.IC.35","DNA.GE.IC.36","DNA.GE.IC.37","DNA.GE.IC.38","DNA.GE.IC.39","DNA.GE.IC.40","DNA.GE.IC.41","DNA.GE.IC.42","DNA.GE.IC.43","DNA.GE.IC.44","DNA.GE.IC.45","DNA.GE.IC.47","DNA.GE.IC.49","DNA.GE.IC.50","DNA.GE.IC.51","DNA.GE.IC.53","DNA.GE.IC.54","DNA.GE.IC.55","DNA.GE.IC.56","DNA.GE.IC.57","DNA.GE.IC.58","DNA.GE.IC.60","DNA.GE.IC.61","DNA.GE.IC.64","DNA.GE.IC.67","DNA.GE.IC.7","DNA.GE.IC.70","DNA.GE.IC.72","DNA.GE.IC.73","DNA.GE.IC.75","DNA.GE.IC.76","DNA.GE.IC.79","DNA.GE.IC.8","DNA.GE.IC.80","DNA.GE.IC.82","DNA.GE.IC.83","DNA.GE.IC.87","DNA.GE.IC.89","DNA.GE.IC.9","DNA.GE.IC.90","DNA.GE.IC.92","DNA.GE.IC.93","DNA.GE.IC.94","DNA.GE.IC.95","DNA.GE.IC.96","DNA.GE.IC.97","DNA.GE.IC.98","DNA.GE.IC.99","DNA.GE.IC.1","DNA.GE.IC.105","DNA.GE.IC.2","DNA.GE.IC.24","DNA.GE.IC.29","DNA.GE.IC.3","DNA.GE.IC.30","DNA.GE.IC.48","DNA.GE.IC.5","DNA.GE.IC.59","DNA.GE.IC.65","DNA.GE.IC.78","DNA.GE.IC.81","DNA.GE.IC.86","DNA.GE.IC.11","DNA.GE.IC.18","DNA.GE.IC.6","DNA.GE.IC.63","DNA.GE.IC.71","DNA.GE.IC.77","DNA.GE.IC.85","DNA.GE.IC.23"
"3fb11d7983",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,30,95,0,0,0,0,0,0,20,0,0,0,76,25,0,15,0,0,9,20,0,0,79,0,0,0,0,0,0,53,0,0,0,85,0,135,21,3059,913,653,140,5501,1880,728,184,161,124,74,98,29,83,0,0,0,160,20,24,83,94,229,0,141,195,0,238,188,146,132,57,69,101,0,0,89,173,0,0,0,0,0,654,139,139,52,0,1288,0,137,0,116,88,62,33,0,0,0,0,58,0,167,113,74,202,83,65,141,142,0,0,0,2386,24,108,164,0,0,0,2857,30
"3f64566871",0,0,0,0,0,0,0,0,0,0,0,0,40,44,42,0,0,0,0,0,0,32,0,35,0,0,87,62,0,0,61,0,0,54,0,43,0,0,63,83,61,0,0,0,97,135,71,86,37,200,170,42,37,0,0,0,46,52,0,0,137,178,0,81,91,129,97,0,0,157,336,198,0,0,0,111,185,120,69,133,78,0,0,0,0,0,0,111,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,29
"292382368e",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,72,0,14,0,0,0,0,12,0,0,0,71,0,31,32,60,57,84,21,33,95,149,93,46,25,61,39,0,0,16,16,19,115,31,0,0,7,9,0,3,13,11,0,4,5,12,0,0,0,19,70,36,31,53,0,111,60,77,72,32,60,114,387,162,0,17,0,62,0,14,7,0,8,41,31,18,20,12,0,0,14,0,0,261,0,94,23,23,100,42,32,46,28,44,8,17,308
"38339c0b55",17,47,26,38,42,377,25,56,24,19,1110,253,34,58,93,19,828,946,102,105,47,73,38,181,228,18,74,78,57,312,53,194,37,40,32,57,93,42,13,36,23,16,68,31,35,37,54,34,34,103,108,42,30,13,179,52,60,54,0,0,42,111,33,29,48,61,67,14,86,6,30,52,75,40,54,45,55,33,15,24,17,0,28,34,10,11,5,46,7,0,12,0,41,0,74,0,9,0,11,45,26,9,25,0,0,17,35,0,0,0,11,16,0,0,6,20,470,24,155,25,32,185,19,287,26,29,164,0,8,200,320,629,0,53,71,0,67
"d3d233a12c",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3,6,0,0,5,0,4,0,0,0,8,192,108,20,63,4,21,34,0,75,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,110,102,18,0,8,12,8,528,932,1717,1767,1493,13,977,464,652,238,0,259,67,0,55,213,87,0,77,0,13,282,43,0,757,683,701,865,8,10,671,835,1412,0,0,0,0,0,0,0,1775,0,1832,235,0,0,0,0,0,0,527,0,0,85,0
"499a2bf8d0",7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,23,12,15,0,7,0,0,13,18,0,0,0,0,0,10,12,21,37,0,0,0,13,20,0,0,0,0,17,14,0,15,0,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"649cd59110",0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,111,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58a35e6970",0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,99,139,0,36,16,0,74,494,172,83,30,0,77,0,1938,276,262,52,17,571,354,66,0,0,0,2179,1250,26,0,0,0,86,0,0,0,0,0,0,37,20,0,0,48,28,22,0,1060,937,311,0,26,251,176,49,0,0,316,518,23,0,0,24,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,132,35,33,0,0,26,5,0,0,0,0,0,24,0,0,114,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"6224d893e7",23,46,26,38,41,537,34,46,44,17,1145,241,46,51,64,18,859,222,45,197,41,49,34,536,253,26,54,43,0,287,75,65,24,25,14,23,20,9,0,0,54,0,182,38,0,0,0,0,0,0,12,68,0,16,377,31,68,58,0,24,48,82,0,67,64,94,68,10,0,34,29,48,36,235,134,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,6,0,0,42,0,0,7,0,14,55,0,0,0,0,0,3,0,0,0,0,1071,0,245,34,0,101,0,251,0,16,0,0,0,388,384,468,0,14,6,0,361
"f8124a0c4a",0,0,0,0,0,283,0,0,0,0,195,1957,0,0,71,0,118,442,102,173,71,62,0,62,355,246,152,112,0,55,61,171,91,92,86,85,286,185,53,50,44,0,149,220,0,0,0,71,0,0,64,0,73,0,0,60,0,53,0,102,60,66,0,61,73,113,68,36,238,76,85,0,0,58,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,98,0,100,0,0,95,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
"ed878e7edf",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,569,0,0,0,0,31,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,51,0,32,292,0,0,33,0,30,33,28,38,12,20,0,0,0,165,0,0,35,24,25,252,30,21,42,0,12,29,0,39,80,25,18,12,0,0,0,49,0,23,0,122,0,0,0,0,31,0,0,70,0,0,0,49,0,0,0,0,24,0,26,14,0,0,0,238,0,0,59,0,84,33,0,114,21,0,321,646,0,0,151,161,0,112
"4369ada91d",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,17,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,40,34,77,67,42,0,0,56,17,61,75,61,79,46,348,110,17,12,0,53,163,27,0,0,0,0,37,0,79,0,0,0,0,57,0,83,0,0,0,24,0,0,0,0,34,0,34,0,0,0,0,118,42,22,66,0,0,113,83,0,0,0,0,0,34,0,236,40,32,50,0,59,0,16,27,51,6,0,0,0,8,18,37,7
"6aa05b1319",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45,16,0,0,0,0,147,86,0,0,33,0,313,14,0,10,0,23,0,0,0,63,0,82,79,151,89,76,74,45,74,62,85,171,136,266,167,2577,329,36,9,12,129,2020,108,23,31,29,0,38,54,2509,47,34,37,23,106,0,52,24,80,80,47,63,22,66,45,85,285,81,228,259,39,109,1949,79,167,327,547,244,3259,716,51,20,67,19,0,37,0,1792,43,214,140,48,135,32,124,467,132,62,44,0,54,136,306,65,13
"816ab18948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,29,0,42,0,0,0,17,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"019e1c9f33",26,0,0,0,0,30,9,0,5,0,23,16,5,0,5,0,47,48,9,11,0,5,5,8,12,0,0,0,0,10,58,39,0,0,0,0,0,10,0,0,50,0,0,43,0,0,0,10,0,0,0,26,0,32,0,40,0,34,25,24,120,102,73,79,67,85,67,8,17,16,5,27,85,0,19,16,20,32,0,0,0,0,64,71,44,25,16,0,29,0,385,60,33,71,0,151,0,125,133,24,150,180,0,144,0,35,9,108,120,156,0,0,33,65,62,0,62,16,0,0,40,14,26,51,14,239,134,112,108,0,38,23,214,0,0,41,0
"0d0d82933b",38,0,0,0,0,0,0,0,0,0,219,69,0,0,0,0,199,111,0,0,0,0,4,255,120,0,5,0,0,66,134,47,0,0,0,0,102,0,0,0,55,0,124,0,0,0,0,7,0,0,0,86,0,45,49,231,148,149,41,957,420,241,69,119,104,108,101,154,237,30,24,33,62,217,270,13,0,11,34,0,0,136,34,16,21,16,78,0,9,0,76,18,42,0,0,64,0,25,129,0,123,61,204,115,51,54,102,86,62,38,162,236,0,0,11,18,16,49,117,0,0,116,8,118,13,53,126,61,179,84,96,54,15,103,129,287,98
"140587eb59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
