"","DNA.GE.IC.10","DNA.GE.IC.101","DNA.GE.IC.102","DNA.GE.IC.103","DNA.GE.IC.104","DNA.GE.IC.106","DNA.GE.IC.107","DNA.GE.IC.108","DNA.GE.IC.109","DNA.GE.IC.110","DNA.GE.IC.111","DNA.GE.IC.112","DNA.GE.IC.113","DNA.GE.IC.114","DNA.GE.IC.115","DNA.GE.IC.116","DNA.GE.IC.117","DNA.GE.IC.118","DNA.GE.IC.119","DNA.GE.IC.12","DNA.GE.IC.120","DNA.GE.IC.121","DNA.GE.IC.122","DNA.GE.IC.123","DNA.GE.IC.124","DNA.GE.IC.125","DNA.GE.IC.126","DNA.GE.IC.127","DNA.GE.IC.128","DNA.GE.IC.129","DNA.GE.IC.13","DNA.GE.IC.130","DNA.GE.IC.131","DNA.GE.IC.132","DNA.GE.IC.133","DNA.GE.IC.134","DNA.GE.IC.135","DNA.GE.IC.136","DNA.GE.IC.137","DNA.GE.IC.139","DNA.GE.IC.14","DNA.GE.IC.140","DNA.GE.IC.141","DNA.GE.IC.142","DNA.GE.IC.143","DNA.GE.IC.144","DNA.GE.IC.145","DNA.GE.IC.146","DNA.GE.IC.147","DNA.GE.IC.148","DNA.GE.IC.149","DNA.GE.IC.15","DNA.GE.IC.150","DNA.GE.IC.16","DNA.GE.IC.17","DNA.GE.IC.19","DNA.GE.IC.20","DNA.GE.IC.21","DNA.GE.IC.22","DNA.GE.IC.25","DNA.GE.IC.26","DNA.GE.IC.27","DNA.GE.IC.28","DNA.GE.IC.31","DNA.GE.IC.32","DNA.GE.IC.33","DNA.GE.IC.34","DNA.GE.IC.35","DNA.GE.IC.36","DNA.GE.IC.37","DNA.GE.IC.38","DNA.GE.IC.39","DNA.GE.IC.40","DNA.GE.IC.41","DNA.GE.IC.42","DNA.GE.IC.43","DNA.GE.IC.44","DNA.GE.IC.45","DNA.GE.IC.47","DNA.GE.IC.49","DNA.GE.IC.50","DNA.GE.IC.51","DNA.GE.IC.53","DNA.GE.IC.54","DNA.GE.IC.55","DNA.GE.IC.56","DNA.GE.IC.57","DNA.GE.IC.58","DNA.GE.IC.60","DNA.GE.IC.61","DNA.GE.IC.64","DNA.GE.IC.67","DNA.GE.IC.7","DNA.GE.IC.70","DNA.GE.IC.72","DNA.GE.IC.73","DNA.GE.IC.75","DNA.GE.IC.76","DNA.GE.IC.79","DNA.GE.IC.8","DNA.GE.IC.80","DNA.GE.IC.82","DNA.GE.IC.83","DNA.GE.IC.87","DNA.GE.IC.89","DNA.GE.IC.9","DNA.GE.IC.90","DNA.GE.IC.92","DNA.GE.IC.93","DNA.GE.IC.94","DNA.GE.IC.95","DNA.GE.IC.96","DNA.GE.IC.97","DNA.GE.IC.98","DNA.GE.IC.99","DNA.GE.IC.1","DNA.GE.IC.105","DNA.GE.IC.2","DNA.GE.IC.24","DNA.GE.IC.29","DNA.GE.IC.3","DNA.GE.IC.30","DNA.GE.IC.48","DNA.GE.IC.5","DNA.GE.IC.59","DNA.GE.IC.65","DNA.GE.IC.78","DNA.GE.IC.81","DNA.GE.IC.86","DNA.GE.IC.11","DNA.GE.IC.18","DNA.GE.IC.6","DNA.GE.IC.63","DNA.GE.IC.71","DNA.GE.IC.77","DNA.GE.IC.85","DNA.GE.IC.23"
"ffc6b4c795",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,20,0,38,0,0,0,0,0,0,0,62,69,18,0,0,0,0,52
"947233f3fc",41,0,0,0,0,0,0,0,0,14,87,0,0,10,0,0,369,0,103,0,32,57,19,82,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,70,0,36,1460,409,240,137,49,51,135,163,105,82,73,79,78,49,82,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,153,22,23,110,39,0,72,372,61,0,51,0,62,57,62,0,36,0,0,0,0,0,43,0,0,48,0,0,100,0,27,0,0,42,272,118,0,42,77,213,33,1365
"f0dff4945e",0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,193,0,0,0,0,0,143,78,136,0,0,0,0,38
"19f0f4aa3d",0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,23,33,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,106,0,0,49,0,0,0,0,0,0,0,0,0,30,91,0,0,0,0,28,111,8,0,0,0,0,0,46,0,0,0,0,0,0,0,0,29,0,27,11,158,0,0,0,85,0,89,0,144,0,0,0,150,0,0,0,40,438,0,0,0,0,0,0,68,34,0,80,0,0,0,0,114,32,23,101,76,50,0,142,0,0,80
"4683bf1f46",0,0,0,0,0,102,0,0,0,0,86,0,0,0,0,0,54,20,0,22,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,46,0,0,15,0,0,0,0,19,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0,29,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,44,0,0,0,0,90,0,27,6,0,0,58,84,120,0,11,0,0,43
"556a4de724",0,0,0,0,0,302,0,12,15,0,124,38,0,0,13,0,179,200,0,0,0,10,0,24,22,0,11,12,0,11,0,0,0,9,10,9,0,0,0,0,0,0,0,0,0,0,15,0,10,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,13,0,0,0,0,0,0,0,21,0,0,0,0,0
"1abc4314c6",16,0,0,0,0,62,0,0,0,4,92,57,0,0,0,0,112,166,24,25,17,21,13,88,160,0,21,13,0,161,0,48,14,0,0,2,37,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,80,31,20,0,0,0,37,49,0,0,27,44,17,0,0,0,0,7,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,42,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,78,0,54,71,0,21,0,128,0,0,38,0,0,0,93,107,0,22,25,0,40
"b50a0c4799",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,40,0,32,32,0,0,71,31,21,32,15,11,13,24,0,0,9,13,0,40,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,42,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,16,0,33,31,0,0,13,0,35,0,0,0,0,0,0,39,36,0,0,0,0,0
"023ccf8f55",0,0,5,10,0,0,6,0,0,6,0,0,5,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,29,23,14,0,0,21,29,0,8,0,0,14,12,52,20,13,32,29,0,17,0,0,0,0,0,0,0,0,0,0,9,16,14,16,0,0,17,26,25,42,0,0,18,31,27,7,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226ef7352e",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,30,0,10,63,20,0,27,0,12,38,29,18,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,27,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,174
"493f0c807c",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,17,0,0,0,0,0,80,0,0,0,0,0,0,0,0,49,0,34,24,142,42,54,0,0,58,48,15,17,14,15,33,107,0,0,0,0,13,56,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0,41,467,267,56,89,0,207,26,28,492,35,342,76,0,31,974,42,31,17,76,116,461,0,11,0,0,44,11,35,6,157,79,17,0,0,0,148,98,308,111,76,35,0,197,255,161,16,0
"0be36272ba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,94,88,0,0,0,144,124,0,0,0,0,55,68,164,0,103,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b703866967",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,18,7,0,0,0,0,0,17,0,0,0,0,0,10,0,0,0,26,0,95,0,0,0,0,0,0,0,0,8,0,12,125,65,44,29,0,8,10,19,0,22,13,25,0,194,50,9,0,0,0,236,26,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,20,47,0,11,34,0,18,27,51,0,28,31,584,34,145,10,16,22,25,30,176,142,18,0,0,0,16,20,81,72,27,19,0,214,0,53,120,45,15,160,100,30,10,133,167,9,519
"74b7331ba6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,27,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e4c749ac0b",50,0,0,0,0,39,20,14,0,0,0,9,14,10,14,12,0,0,0,31,7,0,0,0,0,0,0,4,6,0,81,0,0,0,0,0,0,9,0,0,93,0,0,0,0,0,0,10,0,0,0,66,0,119,0,116,78,84,33,15,18,39,38,4,0,10,0,7,8,0,0,0,28,0,0,0,0,7,0,11,6,6,157,202,265,148,165,0,226,679,1877,812,56,252,288,1807,130,230,1353,143,727,143,21,154,22,70,218,144,421,242,14,127,0,165,106,36,170,17,12,0,0,43,178,692,342,4971,933,171,131,16,141,114,1270,26,14,129,0
"b9fc87b36f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,0,0,0,16,0,0,0,116,0,0,0,44,0,0,45,36,0,0,70,0,34,0,0,54,98,0,0,133,141,350,37,111,89,0,595,543,230,292,74,69,0,0,1002,49,0,43,0,31,0,76,101,0,89,113,0,0,0,0,0,53,174,275,0,0,73,64,169,0,0,0,0,0,0,29,62,13,127,0,0,0,0,0,52,0,26,0,0,0,0
"6037a03cc8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,145,0,56,0,0,155,0,0,0,0,0,0,64,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,301,0,0,0,0,0,0,472,0
"1c07f1d8b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,87,0,0,739,159,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,196,0,0,217,0,0,291,141,146,0,0,182,0,901
"cb1a722368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,4,0,0,0,30,0,0,0,0,0
"b06d9b6ce2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,7,5,12,8,0,0,9,0,0,14,0,0,0,0,0,0,5,0,0,9,13,8,12,21,0,5,0,22,11,0,9,11,14,0,20,20,0,0,12,0,0,0,11,8,95,23,30,0,0,49,49,100,0,0,0,0,0,8,0,18,9,9,79,5,0,8,0,7,0,13,0,0,7,0
"11955501cd",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,38,41,47,48,0,0,33,47,0,46,0,0,48,55,51,28,135,105,73,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,42,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a5a8a53534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,13,3,0,0,14,65,15,0,0,4,9,25,10,20,0,0,8,14,0,0,0,0,59,19,14,10,0,0,44,0,0,0,0,0,35,108,53,22,0,195,107,86,8,160,196,55,0,41,163,61,12,0,0,188,159,25,28,0,396,0,12,26,19,13,0,0,62,11,3,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,5,0,8,18,11,0,13,173,7,0,0,0,5,0,47,31,0,70,0,37,0,0,0,3,48,24,38,70,0,6,0,56,26
"c816613446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,36,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,42,0,8,34,61,11,12,91,0,85,0,78,0,67,0,0,18,23,21,18,0,0,0,0,0,0,0,13,26,0,0,0,0,0,29,129,19,27,0,76,0,41,85,59,11,40
"31ac335c5a",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,46,0,0,0,0,0,0,0,0,8,0,7,13,12,13,8,0,0,0,9,0,0,9,26,29,26,13,0,0,0,0,86,15,0,0,5,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,28,66,0,0,38,47,0,73,102,84,94,17,0,11,44,165,132,36,63,0,0,6,0,0,0,55,20,0,8,0,27,0,0,65,21,38,35,17,7,0,66,24,8,62
"0e7e45f116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,60,47,0,667,273,114,0,57,56,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,91,0
"c69e8e07e3",275,26,0,0,0,125,0,0,0,0,285,38,25,0,0,0,215,37,0,0,0,0,0,59,0,0,0,0,0,122,113,62,0,0,0,0,934,94,0,0,52,0,1276,40,0,0,0,0,0,0,0,106,0,185,695,171,151,165,165,0,136,117,164,203,176,332,267,5181,139,23,25,0,105,3401,124,0,0,0,0,0,0,5407,0,0,0,0,0,0,0,24,607,289,144,228,86,325,93,342,597,137,1081,411,733,281,5143,119,178,576,987,472,6193,318,85,0,40,0,141,66,59,3732,151,118,0,122,0,532,372,1417,215,1657,97,0,251,5504,5655,92,269
"6799cd61c5",0,0,6,11,8,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,16,15,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,3,0,34,0,0,0,0,0,30,24,29,0,30,29,0,33,0,0,3,6,5,0,0,0,0,0,15,9,25,17,0,0,0,26,58,0,0,0,0,31,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4a27bb0dfe",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,45,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,94,40,0,13,78,0,0,0,78,0,40,21,0,0,0,0,69,80,0,0,0,0,30,0,28,0,0,0,0,128,0,398,83,0,0,49,54,25,85,57,25,0,35
"a0cc2852b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,0,0,5,5,0,0,0,0,19,37,12,14,177,116,42,0,25,0,0,0,0,0,0,0,0,4,0,6,0,3,4,0,0,13,30,10,0,0,0,21,22,29,68,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd2d9bed22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"bd3e9feaef",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35dd9ad32d",204,0,0,0,0,27,0,0,0,0,61,0,0,0,0,0,18,15,0,124,0,0,0,0,22,0,0,0,0,36,63,59,0,0,0,0,89,92,0,0,18,0,552,32,0,18,0,25,0,0,0,30,0,34,221,59,88,43,70,52,47,28,56,54,73,104,161,1203,207,26,9,31,50,2921,265,35,26,31,24,48,32,3321,27,19,22,37,38,24,0,19,198,71,97,94,1163,61,14,55,135,70,224,156,224,52,1573,73,2622,131,242,175,1195,1458,42,20,29,28,20,50,23,1743,29,576,0,48,41,91,649,350,90,648,76,57,136,1962,1606,92,108
"4de55affda",122,0,0,0,0,11,0,34,15,13,0,6,5,19,16,9,0,0,5,0,15,0,16,0,0,0,8,5,15,0,70,0,0,0,0,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,59,0,154,0,29,47,62,152,5,0,0,43,0,0,0,38,0,5,0,0,0,42,0,0,0,0,0,0,0,0,0,113,137,117,103,0,0,61,519,1148,719,129,698,61,469,64,1728,246,239,128,877,0,0,0,93,0,224,248,247,0,0,0,219,150,46,24,26,0,0,141,0,0,73,0,512,55,57,68,0,17,25,777,11,0,95,0
"a510639a21",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,18,0,0,0,17,25,13,0,0,0,28,31,23,20,0,0,42,41,0,0,0,0,26,40,39,20,34,50,62,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,24,24,22,0,0,12,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d103b41d1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,54,40,20,35,0,38,103,95,57,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,11,0,0,0,0,278,0,0,0,0,0,0,0,24,0,0,0,0,16,0,54,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,198
"8d3872234b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,58,30,0,0,10,0,0,0,0,0,0,0,88,191,0,0,0,0,25,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,31,0,0,60,0,43,0,42,0,63,0,83,0,0,0,96,138,0,0,0,0,0,11,71,110,0,220,0,46,0,0,62,25,0,0,52,39,0,0,0,0,33
"814086cfc6",64,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,11,0,0,8,0,0,0,31,0,0,0,0,0,0,115,0,0,0,0,0,8,0,0,0,53,0,22,0,0,0,0,0,0,0,0,58,0,42,484,517,185,220,0,34,48,61,30,36,10,15,12,413,38,0,0,0,9,62,0,0,0,0,0,0,0,102,0,0,0,0,9,0,0,36,231,205,61,65,7,214,30,45,618,62,847,220,1310,71,82,40,7,102,90,70,575,436,11,0,0,13,39,29,12,49,37,0,0,235,0,147,202,210,180,684,173,23,99,627,791,30,348
"92bd24f047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
"31c7a76335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,51,7,0,0,186,70,39,0,80,125,51,0,10,7,147,17,0,0,117,19,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bef874f250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,219,125,90,0,0,0,0,0,0,0,0,0,162,96,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,121,0,102,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,253,0,0,139,0,0,347,467,0,0,88,144,0,222
"0811210d84",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,48,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,80,176,72,137,0,0,42,111,66,0,29,61,0,285,292,353,194,180,0,468,0,19,0,0,29,0,0,0,37,13,15,0,4,0,0,0,10,20,3,0,4,0,0,181,484,109,0,0,0,0,0,0,0,429,0,798,9,0,23,35,0,0,0,40,0,0,37,0
"cf84e379f5",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,126,0,296,683,1298,522,399,0,1220,0,0,0,0,0,63,40,0,33,0,0,0,0,0,0,0,0,128,0,0,0,0,56,264,273,172,0,0,0,0,0,0,0,594,0,1055,112,121,0,0,0,0,0,0,0,0,0,0
"e297dcca19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
