"","asv_code","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"148","dbfeb8824a","81c68f51a8",17,0,0,0,0,17,1,0,0,0,0,0,1,"Polar"
"150","4683bf1f46","f67545701c",32,19,0,0,0,51,0.627450980392157,0.372549019607843,0,0,0,0.372549019607843,0.627450980392157,"Polar-Temperate"
"154","6f897e755a","f4a898c13e",6,0,0,0,0,6,1,0,0,0,0,0,1,"Polar"
"155","9dfda91376","c4f09b53a1",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"158","c0f1a02d6b","13dea16db0",32,42,10,0,13,97,0.329896907216495,0.43298969072165,0.134020618556701,0.103092783505155,0,0.536082474226804,0.329896907216495,"Cosmopolitan"
"159","c26ab060b8","03957c7159",28,17,39,0,15,99,0.282828282828283,0.171717171717172,0.151515151515152,0.393939393939394,0,0.565656565656566,0.282828282828283,"Cosmopolitan"
"160","e9fa6c9f9e","534bdf9655",47,6,0,0,0,53,0.886792452830189,0.113207547169811,0,0,0,0.113207547169811,0.886792452830189,"Polar-Temperate"
"161","b50a0c4799","0e9703ec1d",22,0,0,0,0,22,1,0,0,0,0,0,1,"Polar"
"163","b22321545e","e2642a40fc",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"165","f112d4f9d9","fcff0b0ac4",21,0,24,35,0,80,0.2625,0,0,0.3,0.4375,0.3,0.7,"Polar-Temperate"
"167","6037a03cc8","9a1846fb6e",10,0,0,0,0,10,1,0,0,0,0,0,1,"Polar"
"168","9460a0873a","ddd41677d8",23,14,10,0,0,47,0.48936170212766,0.297872340425532,0,0.212765957446809,0,0.51063829787234,0.48936170212766,"Polar-Temperate"
"169","5e6089fe1a","c16ada1437",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"171","c9c918b439","feafda2e47",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"172","d4b61f16f8","ac35f26bc6",20,0,0,0,0,20,1,0,0,0,0,0,1,"Polar"
"177","c27fb4e3e3","9a13788a73",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"180","cc067c054a","1fa8d9bfaa",11,0,0,0,0,11,1,0,0,0,0,0,1,"Polar"
"182","e5ae1d2041","4b61335c1d",39,39,44,0,5,127,0.307086614173228,0.307086614173228,0.0393700787401575,0.346456692913386,0,0.653543307086614,0.307086614173228,"Polar-Temperate"
"183","eed9269955","6809d6e959",16,0,0,0,0,16,1,0,0,0,0,0,1,"Polar"
"188","a7d64e4f31","9ad53cd8dd",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"189","16138fca45","504bd879e9",12,0,0,0,0,12,1,0,0,0,0,0,1,"Polar"
"191","8214d42c8b","7b02dc31b6",15,0,0,0,0,15,1,0,0,0,0,0,1,"Polar"
"193","5603e790eb","c7d4722274",7,40,38,21,10,116,0.0603448275862069,0.344827586206897,0.0862068965517241,0.327586206896552,0.181034482758621,0.672413793103448,0.241379310344828,"Cosmopolitan"
"197","11955501cd","1b04d6e9ef",47,114,214,33,107,515,0.0912621359223301,0.221359223300971,0.207766990291262,0.415533980582524,0.0640776699029126,0.636893203883495,0.155339805825243,"Cosmopolitan"
